workload, memory, parallelism, tXAW, energy (nJ), execution time (ns)
BitWiseOps, 3DS, 8192, 6.664, 175845.3760, 12293.1760
BitWiseOps, 3DS, 8192, 13.328, 175845.3760, 14019.1520
BitCount, 3DS, 512, 0.0, 174063.6160, 10444.8000
BitCount, 3DS, 512, 6.664, 174063.6160, 12150.7840
BitCount, 3DS, 512, 13.328, 174063.6160, 13856.7680
BitCount, 3DS, 8192, 0.0, 174063.6160, 10444.8000
BitCount, 3DS, 8192, 6.664, 174063.6160, 12150.7840
BitCount, 3DS, 8192, 13.328, 174063.6160, 13856.7680
BitCount_short, 3DS, 512, 0.0, 10878.9760, 652.8000
BitCount_short, 3DS, 512, 6.664, 10878.9760, 759.4240
BitCount_short, 3DS, 512, 13.328, 10878.9760, 866.0480
BitCount_short, 3DS, 8192, 0.0, 10878.9760, 652.8000
BitCount_short, 3DS, 8192, 6.664, 10878.9760, 759.4240
BitCount_short, 3DS, 8192, 13.328, 10878.9760, 866.0480
ImgBin, 3DS, 512, 0.0, 174063.6160, 10444.8000
ImgBin, 3DS, 512, 6.664, 174063.6160, 12150.7840
ImgBin, 3DS, 512, 13.328, 174063.6160, 13856.7680
ImgBin, 3DS, 8192, 0.0, 174063.6160, 10444.8000
ImgBin, 3DS, 8192, 6.664, 174063.6160, 12150.7840
ImgBin, 3DS, 8192, 13.328, 174063.6160, 13856.7680
ColorGrade, 3DS, 512, 0.0, 174063.6160, 10444.8000
ColorGrade, 3DS, 512, 6.664, 174063.6160, 12150.7840
ColorGrade, 3DS, 512, 13.328, 174063.6160, 13856.7680
ColorGrade, 3DS, 8192, 0.0, 174063.6160, 10444.8000
ColorGrade, 3DS, 8192, 6.664, 174063.6160, 12150.7840
ColorGrade, 3DS, 8192, 13.328, 174063.6160, 13856.7680
LeNet4, 3DS, 512, 0.0, 381433.4880, 101224.8000
LeNet4, 3DS, 512, 6.664, 381433.4880, 117751.5200
LeNet4, 3DS, 512, 13.328, 381433.4880, 134278.2400
LeNet4, 3DS, 8192, 0.0, 381433.4880, 101224.8000
LeNet4, 3DS, 8192, 6.664, 381433.4880, 117751.5200
LeNet4, 3DS, 8192, 13.328, 381433.4880, 134278.2400
LeNet1, 3DS, 512, 0.0, 95358.3720, 77479.2000
LeNet1, 3DS, 512, 6.664, 95358.3720, 90114.1440
LeNet1, 3DS, 512, 13.328, 95358.3720, 102749.0880
LeNet1, 3DS, 8192, 0.0, 95358.3720, 77479.2000
LeNet1, 3DS, 8192, 6.664, 95358.3720, 90114.1440
LeNet1, 3DS, 8192, 13.328, 95358.3720, 102749.0880
